step,customer,age,gender,merchant,category,amount,fraud,amount_zscore,customer_tx_count,merchant_tx_count
26,C746862122,3,M,M348934600,es_transportation,11.65,0,-0.8831683095593957,5,6913
146,C1760492708,1,F,M1823072687,es_transportation,1.6,0,-1.4600041736422715,10,10103
172,C1984083185,3,F,M1823072687,es_transportation,33.36,0,0.36291195006639865,4,10103
9,C1530262146,2,M,M1823072687,es_transportation,8.01,0,-1.0920919459038403,5,10103
19,C1471216995,3,F,M348934600,es_transportation,38.11,0,0.6355458161752205,9,6913
35,C109617474,2,F,M348934600,es_transportation,66.43,0,2.261017624217713,11,6913
96,C1376617526,3,F,M348934600,es_transportation,10.24,0,-0.9640975203411724,12,6913
81,C1092512638,3,F,M1823072687,es_transportation,24.52,0,-0.14447402391296674,8,10103
31,C1560676680,2,F,M980657600,es_sportsandtoys,27.8,1,-0.8678557589238374,5,57
170,C121713128,2,F,M1823072687,es_transportation,66.94,0,2.290289891947291,5,10103
75,C1780497356,3,F,M1823072687,es_transportation,20.41,0,-0.3803740638513368,3,10103
158,C473451132,2,F,M348934600,es_transportation,19.89,0,-0.41022029761482887,2,6913
156,C1297329735,2,F,M151143676,es_barsandrestaurants,48.36,0,0.071803698146062,3,196
93,C908646797,3,M,M209847108,es_wellnessandbeauty,104.04,0,0.7209766685093548,2,127
160,C1806072501,5,M,M1823072687,es_transportation,17.71,0,-0.5353448930079303,6,10103
58,C1426091756,1,F,M1823072687,es_transportation,7.89,0,-1.0989795383107999,7,10103
148,C22920054,3,M,M1823072687,es_transportation,21.21,0,-0.33445678113827204,6,10103
116,C1948527523,5,M,M1823072687,es_transportation,48.66,0,1.2410799819537617,4,10103
15,C359628860,4,F,M1842530320,es_tech,54.77,0,-0.547577091846822,7,23
113,C892943299,3,F,M1823072687,es_transportation,19.69,0,-0.421699618293095,6,10103
36,C1076053396,4,M,M348934600,es_transportation,12.94,0,-0.8091266911845788,6,6913
48,C1516302826,3,F,M348934600,es_transportation,40.42,0,0.7681319700091951,6,6913
23,C1314174420,2,M,M348934600,es_transportation,17.67,0,-0.5376407571435835,3,6913
162,C6094907,5,M,M349281107,es_fashion,25.19,0,-0.7597614540513881,8,101
64,C55178455,3,M,M348934600,es_transportation,47.67,0,1.1842573445963442,8,6913
175,C668875156,3,F,M1823072687,es_transportation,3.62,0,-1.344063034791783,6,10103
122,C1159279360,2,F,M1823072687,es_transportation,14.05,0,-0.7454164614202015,5,10103
17,C621230638,4,M,M348934600,es_transportation,50.96,0,1.373092169753823,7,6913
50,C876777476,1,F,M348934600,es_transportation,37.92,0,0.6246404615308678,5,6913
