step,customer,age,gender,merchant,category,amount,fraud,amount_zscore,customer_tx_count,merchant_tx_count,risk_score,risk_score_scaled,cost
26,C746862122,3,M,M348934600,es_transportation,11.65,0,-0.8831683095593957,5,6913,3.498992720240125e-39,3.498992720240125e-39,1.001
146,C1760492708,1,F,M1823072687,es_transportation,1.6,0,-1.4600041736422715,10,10103,1.3232591400072385e-56,1.3232591400072385e-56,1.001
172,C1984083185,3,F,M1823072687,es_transportation,33.36,0,0.3629119500663986,4,10103,7.718870586812722e-56,7.718870586812722e-56,1.001
9,C1530262146,2,M,M1823072687,es_transportation,8.01,0,-1.0920919459038405,5,10103,2.7264210002908833e-56,2.7264210002908833e-56,1.001
19,C1471216995,3,F,M348934600,es_transportation,38.11,0,0.6355458161752205,9,6913,6.361384764555419e-39,6.361384764555419e-39,1.001
35,C109617474,2,F,M348934600,es_transportation,66.43,0,2.261017624217713,11,6913,1.5043748338409586e-38,1.5043748338409586e-38,1.001
96,C1376617526,3,F,M348934600,es_transportation,10.24,0,-0.9640975203411724,12,6913,1.6854779738024232e-39,1.6854779738024232e-39,1.001
81,C1092512638,3,F,M1823072687,es_transportation,24.52,0,-0.1444740239129667,8,10103,3.7702798800514386e-56,3.7702798800514386e-56,1.001
31,C1560676680,2,F,M980657600,es_sportsandtoys,27.8,1,-0.8678557589238374,5,57,0.01905178342191958,0.01905178342191958,0.9819482165780804
170,C121713128,2,F,M1823072687,es_transportation,66.94,0,2.290289891947291,5,10103,2.446079920913727e-55,2.446079920913727e-55,1.001
75,C1780497356,3,F,M1823072687,es_transportation,20.41,0,-0.3803740638513368,3,10103,5.250695626061304e-56,5.250695626061304e-56,1.001
158,C473451132,2,F,M348934600,es_transportation,19.89,0,-0.4102202976148288,2,6913,6.358597122136161e-39,6.358597122136161e-39,1.001
156,C1297329735,2,F,M151143676,es_barsandrestaurants,48.36,0,0.071803698146062,3,196,0.008245190313627821,0.008245190313627821,0.9927548096863722
93,C908646797,3,M,M209847108,es_wellnessandbeauty,104.04,0,0.7209766685093548,2,127,0.05738330017445205,0.05738330017445205,0.943616699825548
160,C1806072501,5,M,M1823072687,es_transportation,17.71,0,-0.5353448930079303,6,10103,3.55122719616738e-56,3.55122719616738e-56,1.001
