step,customer,age,gender,merchant,category,amount,fraud
26,C746862122,3,M,M348934600,es_transportation,11.65,0
146,C1760492708,1,F,M1823072687,es_transportation,1.6,0
172,C1984083185,3,F,M1823072687,es_transportation,33.36,0
9,C1530262146,2,M,M1823072687,es_transportation,8.01,0
19,C1471216995,3,F,M348934600,es_transportation,38.11,0
35,C109617474,2,F,M348934600,es_transportation,66.43,0
96,C1376617526,3,F,M348934600,es_transportation,10.24,0
81,C1092512638,3,F,M1823072687,es_transportation,24.52,0
31,C1560676680,2,F,M980657600,es_sportsandtoys,27.8,1
170,C121713128,2,F,M1823072687,es_transportation,66.94,0
75,C1780497356,3,F,M1823072687,es_transportation,20.41,0
158,C473451132,2,F,M348934600,es_transportation,19.89,0
156,C1297329735,2,F,M151143676,es_barsandrestaurants,48.36,0
93,C908646797,3,M,M209847108,es_wellnessandbeauty,104.04,0
160,C1806072501,5,M,M1823072687,es_transportation,17.71,0
58,C1426091756,1,F,M1823072687,es_transportation,7.89,0
148,C22920054,3,M,M1823072687,es_transportation,21.21,0
116,C1948527523,5,M,M1823072687,es_transportation,48.66,0
15,C359628860,4,F,M1842530320,es_tech,54.77,0
113,C892943299,3,F,M1823072687,es_transportation,19.69,0
36,C1076053396,4,M,M348934600,es_transportation,12.94,0
48,C1516302826,3,F,M348934600,es_transportation,40.42,0
23,C1314174420,2,M,M348934600,es_transportation,17.67,0
162,C6094907,5,M,M349281107,es_fashion,25.19,0
64,C55178455,3,M,M348934600,es_transportation,47.67,0
175,C668875156,3,F,M1823072687,es_transportation,3.62,0
122,C1159279360,2,F,M1823072687,es_transportation,14.05,0
17,C621230638,4,M,M348934600,es_transportation,50.96,0
50,C876777476,1,F,M348934600,es_transportation,37.92,0
1,C1152092987,3,M,M348934600,es_transportation,25.12,0
38,C1557689947,1,F,M1823072687,es_transportation,27.3,0
73,C1304555023,2,F,M840466850,es_tech,43.51,0
5,C753013685,2,M,M348934600,es_transportation,1.45,0
84,C1872482068,4,M,M1823072687,es_transportation,27.28,0
146,C1076053396,4,M,M1400236507,es_home,48.71,0
21,C993553940,2,M,M348934600,es_transportation,56.29,0
86,C1275053057,1,F,M1823072687,es_transportation,23.63,0
91,C1631930247,3,M,M1823072687,es_transportation,15.91,0
119,C1865204568,5,M,M1823072687,es_transportation,55.63,0
95,C1169655012,2,F,M348934600,es_transportation,73.76,0
57,C869954068,3,F,M1823072687,es_transportation,0.9,0
122,C1394931354,4,M,M1823072687,es_transportation,0.67,0
60,C741739992,2,F,M1823072687,es_transportation,18.35,0
134,C1497895052,2,M,M85975013,es_food,72.76,0
117,C1740393527,2,F,M1823072687,es_transportation,33.9,0
175,C1338396147,1,F,M1823072687,es_transportation,4.33,0
101,C284165615,3,F,M1600850729,es_fashion,2.5,0
85,C941334726,3,F,M1823072687,es_transportation,13.56,0
135,C2084566155,2,F,M348934600,es_transportation,37.16,0
100,C1760492708,1,F,M1823072687,es_transportation,42.4,0
139,C917831365,5,F,M348934600,es_transportation,33.94,0
108,C1973818754,2,F,M1823072687,es_transportation,70.99,0
37,C270217031,3,F,M1823072687,es_transportation,39.19,0
28,C1567385001,2,F,M17379832,es_sportsandtoys,34.79,1
22,C2039473569,2,M,M348934600,es_transportation,35.38,0
174,C1207935724,4,M,M1823072687,es_transportation,53.17,0
32,C635603510,2,M,M348934600,es_transportation,49.98,0
46,C1181615831,3,M,M1823072687,es_transportation,30.42,0
92,C1977780197,1,F,M348934600,es_transportation,10.31,0
114,C1354917220,2,M,M1823072687,es_transportation,48.25,0
88,C2095181585,4,M,M1823072687,es_transportation,17.84,0
84,C1694165271,2,M,M348934600,es_transportation,21.42,0
163,C817774765,1,M,M1823072687,es_transportation,44.42,0
65,C574852748,4,F,M348934600,es_transportation,21.29,0
71,C2104407126,2,F,M1823072687,es_transportation,20.62,0
149,C937166633,3,F,M348934600,es_transportation,7.66,0
37,C1135495199,2,M,M348934600,es_transportation,31.15,0
95,C1724556830,1,M,M1823072687,es_transportation,16.76,0
118,C1508373758,3,M,M1823072687,es_transportation,10.63,0
43,C167330970,2,F,M1823072687,es_transportation,37.48,0
97,C1530773220,5,F,M78078399,es_wellnessandbeauty,18.49,0
170,C27152267,5,F,M1823072687,es_transportation,7.0,0
101,C470079617,5,F,M209847108,es_wellnessandbeauty,23.41,0
104,C1669649966,3,F,M1823072687,es_transportation,2.18,0
36,C1800696439,5,M,M348934600,es_transportation,38.15,0
144,C1100510913,2,M,M1823072687,es_transportation,8.55,0
179,C1828345671,4,M,M1823072687,es_transportation,8.57,0
127,C2084449024,4,F,M1600850729,es_fashion,85.22,0
101,C44197733,2,M,M1823072687,es_transportation,10.96,0
76,C474891377,4,M,M1823072687,es_transportation,74.04,0
154,C1866572071,3,F,M1823072687,es_transportation,23.58,0
147,C752612398,1,F,M85975013,es_food,30.81,0
97,C1303226190,1,F,M1823072687,es_transportation,34.39,0
68,C778323844,2,F,M348934600,es_transportation,8.81,0
134,C212188289,4,M,M1823072687,es_transportation,22.87,0
117,C852586467,4,M,M1823072687,es_transportation,22.3,0
67,C1896250849,1,M,M1823072687,es_transportation,5.19,0
30,C608244416,1,F,M348934600,es_transportation,15.81,0
101,C1600642825,3,F,M348934600,es_transportation,26.24,0
179,C56859969,6,F,M1823072687,es_transportation,59.56,0
85,C1289834917,2,F,M1535107174,es_wellnessandbeauty,18.63,0
77,C871962456,2,F,M1823072687,es_transportation,36.28,0
7,C1874220848,2,M,M1823072687,es_transportation,51.27,0
8,C483485800,4,F,M348934600,es_transportation,29.36,0
39,C177123752,4,M,M1823072687,es_transportation,38.91,0
61,C480669012,5,F,M348934600,es_transportation,35.05,0
179,C809005315,2,F,M1823072687,es_transportation,39.96,0
15,C903741897,2,F,M1823072687,es_transportation,45.84,0
130,C46234453,3,F,M1823072687,es_transportation,19.23,0
